,label,quantity,unit
ENERC_KCAL,Energy,3897.8847966250505,kcal
FAT,Fat,281.7973896498531,g
FASAT,Saturated,80.41792651629662,g
FATRN,Trans,0.0,g
FAMS,Monounsaturated,116.42828684428095,g
FAPU,Polyunsaturated,60.71976612838291,g
CHOCDF,Carbs,6.425249319142501,g
FIBTG,Fiber,1.8935213485650002,g
SUGAR,Sugars,0.047899354272000004,g
PROCNT,Protein,312.01614425200455,g
CHOLE,Cholesterol,1566.2090943730002,mg
NA,Sodium,5818.914444977497,mg
CA,Calcium,218.09684626793904,mg
MG,Magnesium,358.9387221502079,mg
K,Potassium,3669.9071911427136,mg
FE,Iron,25.715630535762603,mg
ZN,Zinc,23.411849338505288,mg
P,Phosphorus,3016.7612062434005,mg
VITA_RAE,Vitamin A,4609.589368849851,µg
VITC,Vitamin C,43.7081607732,mg
THIA,Thiamin (B1),1.0825753017079,mg
RIBF,Riboflavin (B2),3.1276781484795007,mg
NIA,Niacin (B3),117.13235745691864,mg
VITB6A,Vitamin B6,5.84953400740555,mg
FOLDFE,Folate equivalent (total),474.77740164085003,µg
FOLFD,Folate (food),474.77740164085003,µg
FOLAC,Folic acid,0.0,µg
VITB12,Vitamin B12,18.029616318945003,µg
VITD,Vitamin D,0.0,µg
TOCPHA,Vitamin E,0.07783645069200001,mg
VITK1,Vitamin K,12.251756709885,µg
WATER,Water,1202.5662619386048,g
