,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName,collectionArtistId,contentAdvisoryRating,collectionArtistViewUrl
0,track,song,577354628,1087445205.0,1087445213,Fifth Harmony,7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Work from Home (feat. Ty Dolla $ign),https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/work-from-home-feat-ty-dolla-%24ign/1087445205?i=1087445213&uo=4,https://music.apple.com/us/album/work-from-home-feat-ty-dolla-%24ign/1087445205?i=1087445213&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview18/v4/2c/59/c3/2c59c3a9-2c93-4505-adc4-bc0025dcced8/mzaf_5937780233606592182.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/100x100bb.jpg,12.99,1.29,2016-02-26T08:00:00Z,explicit,notExplicit,1.0,1.0,12.0,2.0,214478,USA,USD,Pop,True,,,,
1,track,song,577354628,909767577.0,909767585,Fifth Harmony,Reflection (Deluxe),Worth It,Reflection (Deluxe),Worth It (feat. Kid Ink),https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/worth-it-feat-kid-ink/909767577?i=909767585&uo=4,https://music.apple.com/us/album/worth-it-feat-kid-ink/909767577?i=909767585&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music49/v4/bc/63/4f/bc634fb9-4250-34f6-9cef-9d45a034c6b6/mzaf_7912413444371250538.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/100x100bb.jpg,12.99,1.29,2015-01-30T08:00:00Z,notExplicit,notExplicit,1.0,1.0,14.0,4.0,224573,USA,USD,Pop,True,,,,
2,track,song,577354628,909767577.0,909767584,Fifth Harmony,Reflection (Deluxe),Sledgehammer,Reflection (Deluxe),Sledgehammer,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/sledgehammer/909767577?i=909767584&uo=4,https://music.apple.com/us/album/sledgehammer/909767577?i=909767584&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/b3/a3/84/b3a38411-2cbe-bf25-ccf5-c8695c0409b0/mzaf_3768201091180121356.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/100x100bb.jpg,12.99,1.29,2014-01-28T08:00:00Z,notExplicit,notExplicit,1.0,1.0,14.0,3.0,230909,USA,USD,Pop,True,,,,
3,track,song,577354628,1087445205.0,1087445212,Fifth Harmony,7/27 (Deluxe),That's My Girl,7/27 (Deluxe),That's My Girl,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/thats-my-girl/1087445205?i=1087445212&uo=4,https://music.apple.com/us/album/thats-my-girl/1087445205?i=1087445212&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview20/v4/8a/31/51/8a315197-4d69-fdc8-d329-8a767bc1c40a/mzaf_2596157412388369355.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/08/90/30/089030fc-0a30-8708-3d96-256355b50f67/source/100x100bb.jpg,12.99,1.29,2016-05-27T07:00:00Z,explicit,notExplicit,1.0,1.0,12.0,1.0,204018,USA,USD,Pop,True,,,,
4,track,song,577354628,909767577.0,909767583,Fifth Harmony,Reflection (Deluxe),BO$$,Reflection (Deluxe),BO$$,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/bo%24%24/909767577?i=909767583&uo=4,https://music.apple.com/us/album/bo%24%24/909767577?i=909767583&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/82/36/f1/8236f18e-6492-703d-7128-1585f1bcf5d6/mzaf_2046673508914522028.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/100x100bb.jpg,12.99,1.29,2014-07-07T07:00:00Z,notExplicit,notExplicit,1.0,1.0,14.0,2.0,171415,USA,USD,Pop,True,,,,
5,track,song,577354628,701119756.0,701122111,Fifth Harmony,Better Together - EP,Miss Movin' On,Better Together - EP,Miss Movin' On,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/miss-movin-on/701119756?i=701122111&uo=4,https://music.apple.com/us/album/miss-movin-on/701119756?i=701122111&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/9a/2f/5c/9a2f5c5b-ad09-7498-b503-b994efa3c9cf/mzaf_2257015291980771763.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/100x100bb.jpg,4.99,1.29,2013-10-18T07:00:00Z,notExplicit,notExplicit,1.0,1.0,6.0,2.0,194253,USA,USD,Pop,True,,,,
6,track,song,577354628,701119756.0,701122123,Fifth Harmony,Better Together - EP,Me & My Girls,Better Together - EP,Me & My Girls,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/me-my-girls/701119756?i=701122123&uo=4,https://music.apple.com/us/album/me-my-girls/701119756?i=701122123&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/1d/74/45/1d7445be-5f70-32c6-cbdc-2133b58947e2/mzaf_4221292137257364800.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/100x100bb.jpg,4.99,1.29,2013-10-18T07:00:00Z,notExplicit,notExplicit,1.0,1.0,6.0,6.0,204013,USA,USD,Pop,True,,,,
7,track,song,577354628,1268845546.0,1268845886,Fifth Harmony,Fifth Harmony,Down (feat. Gucci Mane),Fifth Harmony,Down (feat. Gucci Mane),https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/down-feat-gucci-mane/1268845546?i=1268845886&uo=4,https://music.apple.com/us/album/down-feat-gucci-mane/1268845546?i=1268845886&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/79/31/ef/7931ef3c-fe44-f687-69e2-00af798473fd/mzaf_4674114556499648282.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/5d/1f/ea/5d1feab8-af03-a87c-51b4-d1ebb2fa11a0/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/5d/1f/ea/5d1feab8-af03-a87c-51b4-d1ebb2fa11a0/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/5d/1f/ea/5d1feab8-af03-a87c-51b4-d1ebb2fa11a0/source/100x100bb.jpg,9.99,1.29,2017-06-02T12:00:00Z,explicit,notExplicit,1.0,1.0,10.0,1.0,165200,USA,USD,Pop,True,,,,
8,track,song,577354628,909767577.0,909767588,Fifth Harmony,Reflection (Deluxe),Like Mariah,Reflection (Deluxe),Like Mariah (feat. Tyga),https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/like-mariah-feat-tyga/909767577?i=909767588&uo=4,https://music.apple.com/us/album/like-mariah-feat-tyga/909767577?i=909767588&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/bb/2c/68/bb2c686e-028d-2bdd-9474-e92e7bc8f7f7/mzaf_2151097451829568037.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/1e/02/7e/1e027ec8-d6ac-a7c2-2abd-b7164ea29a8f/source/100x100bb.jpg,12.99,1.29,2015-01-30T08:00:00Z,notExplicit,notExplicit,1.0,1.0,14.0,7.0,208179,USA,USD,Pop,True,,,,
9,track,song,577354628,701119756.0,701122112,Fifth Harmony,Better Together - EP,Better Together,Better Together - EP,Better Together,https://music.apple.com/us/artist/fifth-harmony/577354628?uo=4,https://music.apple.com/us/album/better-together/701119756?i=701122112&uo=4,https://music.apple.com/us/album/better-together/701119756?i=701122112&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/d8/3e/09/d83e097b-bdb6-1fdb-5822-93da3fbbdc8a/mzaf_9159007974958771839.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music4/v4/eb/3d/22/eb3d22a8-8ddf-bd34-7424-681e05321cf7/source/100x100bb.jpg,4.99,1.29,2013-10-18T07:00:00Z,notExplicit,notExplicit,1.0,1.0,6.0,3.0,194093,USA,USD,Pop,True,,,,
