Title,Price,Tags
Dreamscaper: Prologue,Free,"Action, Indie, RPG, Free to Play"
RESIDENT EVIL 3,$59.99,"Action, Zombies, Horror, Survival Horror"
ONE PIECE: PIRATE WARRIORS 4,$59.99,"Action, Anime, Co-op, Online Co-Op"
Eternal Radiance,$16.19,"Action, Adventure, RPG, Anime"
Deadside,$19.99,"Massively Multiplayer, Action, Adventure, Indie"
Conqueror's Blade,Free to Play,"Strategy, Massively Multiplayer, Action, Simulation"
Borderlands 3,$59.99,"RPG, Action, Online Co-Op, Looter Shooter"
Granblue Fantasy: Versus,$59.99,"Action, Anime, Fighting, 2D Fighter"
Receiver 2,$17.99,"Simulation, Indie, Action, Shooter"
Rakion Chaos Force,Free,"Action, RPG, Free to Play, Strategy"
Mount & Blade II: Bannerlord,$49.99,"Early Access, Medieval, Strategy, Open World"
Half-Life: Alyx,$59.99,"Masterpiece, Action, VR, Adventure"
Last Oasis,$29.99,"Massively Multiplayer, Survival, Action, Adventure"
DOOM Eternal,$59.99,"Action, Masterpiece, Great Soundtrack, FPS"
Disaster Report 4: Summer Memories,$59.99,"Adventure, Action, Survival, VR"
